Title,Translated title,Published,Source Name,Source Type,URL,PDF URL,Policy Document ID,Policy Document DOIs,PDF Document ID,Matched Reference Type,Matched News ID,Matched Policy Document ID,Matched DOI,Matched Person,Page,Matched Snippet,Matched Policy Document Title,Matched Departments
Prevention of respiratory syncytial virus (RSV) disease in infants. Background information for the Health Council of the Netherlands,,2023-07-13,Rijksinstituut voor Volksgezondheid en Milieu,government,https://www.rivm.nl/publicaties/prevention-of-respiratory-syncytial-virus-rsv-disease-in-infants-background-information,https://www.rivm.nl/bibliotheek/rapporten/2023-0355.pdf#page=61,rivmnl-5ddbb7d30eaf24856f469d5859ecfbbd,,rivmnl-5ddbb7d30eaf24856f469d5859ecfbbd-e02911e1aa6a9ddd337c923b8a54905d,cited selected person,,,10.1155/2014/571609,Adam B Jaffe,61,"101. Homaira N, Rawlinson W, Snelling TL, Jaffe A. Effectiveness of Palivizumab in Preventing RSV Hospitalization in High Risk Children: A Real-World Perspective. Int J Pediatr. 2014;2014:571609.",,
Prevention of respiratory syncytial virus (RSV) disease in infants. Background information for the Health Council of the Netherlands,,2023-07-13,Rijksinstituut voor Volksgezondheid en Milieu,government,https://www.rivm.nl/publicaties/prevention-of-respiratory-syncytial-virus-rsv-disease-in-infants-background-information,https://www.rivm.nl/bibliotheek/rapporten/2023-0355.pdf#page=61,rivmnl-5ddbb7d30eaf24856f469d5859ecfbbd,,rivmnl-5ddbb7d30eaf24856f469d5859ecfbbd-e02911e1aa6a9ddd337c923b8a54905d,cited selected person,,,10.1155/2014/571609,Adam B Jaffe,61,"101. Homaira N, Rawlinson W, Snelling TL, Jaffe A. Effectiveness of Palivizumab in Preventing RSV Hospitalization in High Risk Children: A Real-World Perspective. Int J Pediatr. 2014;2014:571609.",,
Pharmacotherapy for Adults With Alcohol Use Disorder in Outpatient Settings: Systematic Review,,2023-04-17,AHRQ,government,https://effectivehealthcare.ahrq.gov/products/alcohol-use-disorders/research,https://effectivehealthcare.ahrq.gov/sites/default/files/related_files/cer-262-pharmacotherapy-alcohol.pdf#page=92,ahrq-0517442fe205273457acb97c9895900f,,ahrq-0517442fe205273457acb97c9895900f-23a5c1dd3ce97dea89227ad9bb19c9df,cited selected person,,,10.1001/archpsyc.1992.01820110045007,Adam B Jaffe,92,"104. OMalley SS, Jaffe AJ, Chang G, et al. Naltrexone and coping skills therapy for alcohol dependence. A controlled study. Arch Gen Psychiatry. 1992 Nov;4911:881- 7. PMID: 1444726.",,
Pharmacotherapy for Adults With Alcohol Use Disorder in Outpatient Settings: Systematic Review,,2023-04-17,AHRQ,government,https://effectivehealthcare.ahrq.gov/products/alcohol-use-disorders/research,https://effectivehealthcare.ahrq.gov/sites/default/files/related_files/cer-262-pharmacotherapy-alcohol.pdf#page=92,ahrq-0517442fe205273457acb97c9895900f,,ahrq-0517442fe205273457acb97c9895900f-23a5c1dd3ce97dea89227ad9bb19c9df,cited selected person,,,10.1001/archpsyc.1992.01820110045007,Adam B Jaffe,92,"104. OMalley SS, Jaffe AJ, Chang G, et al. Naltrexone and coping skills therapy for alcohol dependence. A controlled study. Arch Gen Psychiatry. 1992 Nov;4911:881- 7. PMID: 1444726.",,
Reimagine: Clean Energy Technology and U.S. Industrial Policy,,2022-09-07,Center for a New American Security,think tank,https://www.cnas.org/publications/reports/reimagine-clean-energy-technology-and-u-s-industrial-policy,https://s3.us-east-1.amazonaws.com/files.cnas.org/documents/CNAS-Report-Reimagine-Clean-Energy-Tech-final-v2.pdf?mtime=20220906154053&focal=none#page=23,centerforanewamericansecurity-de88319014e129319844fc9903836833,,centerforanewamericansecurity-de88319014e129319844fc9903836833-57330619efe83c9b594977c9ce5cce1c,cited selected person,,,10.1162/003465398557221,Adam B Jaffe,23,"17. Rebecca Henderson, Adam B. Jaffe, and Manuel Trajtenberg, Universities as a Source of Commercial Technology: A Detailed Analysis of University Patenting, 19651988, Review of Economics and Statistics, 80, no. 1 1998: 119127.",,
Pharmacotherapy for Adults With Alcohol Use Disorder in Outpatient Settings: Systematic Review,,2023-04-17,AHRQ,government,https://effectivehealthcare.ahrq.gov/products/alcohol-use-disorders/research,https://effectivehealthcare.ahrq.gov/sites/default/files/related_files/cer-262-pharmacotherapy-alcohol.pdf#page=363,ahrq-0517442fe205273457acb97c9895900f,,ahrq-0517442fe205273457acb97c9895900f-23a5c1dd3ce97dea89227ad9bb19c9df,cited selected person,,,10.1001/archpsyc.1996.01830030039007,Adam B Jaffe,363,"180. OMalley SS, Jaffe AJ, Chang G, et al. Sixmonth follow-up of naltrexone and psychotherapy for alcohol dependence. Arch Gen Psychiatry. 1996 Mar;533:217-24. PMID: 8611058.",,
"Energy Conservation Program: Energy Conservation Standards for Refrigerators, Refrigerator-Freezers, and Freezers",,2023-02-27,Federal Register,government,https://www.federalregister.gov/documents/2023/02/27/2023-03436/energy-conservation-program-energy-conservation-standards-for-refrigerators-refrigerator-freezers,https://www.govinfo.gov/content/pkg/FR-2023-02-27/pdf/2023-03436.pdf#page=69,federalregister-c6b7d42e19e7c8717e2a34cba93b3602,,federalregister-c6b7d42e19e7c8717e2a34cba93b3602-e49ec6684016ef124c8f01243925f7d5,cited selected person,,,10.1162/003355399556188,Adam B Jaffe,69,"1999. The Induced Innovation Hypothesis and Energy Saving Technological Change, Quarterly Journal of Economics, 114458, 907940.",,
"Energy Conservation Program: Energy Conservation Standards for Refrigerators, Refrigerator-Freezers, and Freezers",,2023-02-27,Federal Register,government,https://www.federalregister.gov/documents/2023/02/27/2023-03436/energy-conservation-program-energy-conservation-standards-for-refrigerators-refrigerator-freezers,https://www.govinfo.gov/content/pkg/FR-2023-02-27/pdf/2023-03436.pdf#page=69,federalregister-c6b7d42e19e7c8717e2a34cba93b3602,,federalregister-c6b7d42e19e7c8717e2a34cba93b3602-e49ec6684016ef124c8f01243925f7d5,cited selected person,,,10.1162/003355399556188,Adam B Jaffe,69,"1999. The Induced Innovation Hypothesis and Energy Saving Technological Change, Quarterly Journal of Economics, 114458, 907940.",,
Proceeding of the 11th international conference on Energy Efficiency in Domestic Appliances and Lighting (EEDAL’21).,,2023-02-24,Publications Office of the European Union,government,https://op.europa.eu/en/publication-detail/-/publication/d38c43b6-b71e-11ed-8912-01aa75ed71a1/language-en/format-PDF,https://op.europa.eu/o/opportal-service/download-handler?identifier=d38c43b6-b71e-11ed-8912-01aa75ed71a1&format=pdf&language=en&productionSystem=cellar&part=#page=366,europa-198baa3d8485646c127145b740791a0b,10.2760/356891,europa-198baa3d8485646c127145b740791a0b-e8f4a6cd544cd17692a908cfa53db6ae,cited selected person,,,10.1016/0301-4215(94)90138-4,Adam B Jaffe,366,"2 Jaffe, A.D. Stavins, R.N.: The energy-efficiency gap. What does it mean? Energy Policy, Vol. 22, No. 10, October 1994, 804810.",,
Proceeding of the 11th International Conference on Energy Efficiency in Domestic Appliances and Lighting (EEDAL’22),,2023-02-17,Joint Research Centre,government,https://publications.jrc.ec.europa.eu/repository/handle/JRC132721,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC132721/JRC132721_01.pdf#page=366,jointresearcheu-4a81fbe1e4f9454aa1afd7b9909d7c1a,10.2760/356891,jointresearcheu-4a81fbe1e4f9454aa1afd7b9909d7c1a-151b135026beeddb9cc01fd5c795fe9e,cited selected person,,,10.1016/0301-4215(94)90138-4,Adam B Jaffe,366,"2 Jaffe, A.D. Stavins, R.N.: The energy-efficiency gap. What does it mean? Energy Policy, Vol. 22, No. 10, October 1994, 804810.",,
