Title,Translated title,Published,Source Name,Source Type,URL,PDF URL,Policy Document ID,Policy Document DOIs,PDF Document ID,Matched Reference Type,Matched News ID,Matched Policy Document ID,Matched DOI,Matched Person,Page,Matched Snippet,Matched Policy Document Title,Matched Departments
Responses to Official Information Requests - May 2023,,2023-09-29,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/responses-official-information-requests-may-2023,https://www.dpmc.govt.nz/sites/default/files/2023-09/dpmc-roia-oia-2022-23-0804.pdf#page=4,dpmcnz-3ab6d1f7ea4adc7827848198080346b8,,dpmcnz-3ab6d1f7ea4adc7827848198080346b8-f1024eda6c035a1c297feb458ddea517,full text search,,,,,4,"briefing session for Disinformation Project/TPM, Ill attend on behalf of the project. Ng? mihi s92a Project Lead, The Disinformation Project Co-Lead, Equity and Diversity Community of Interest, Te P?naha Matatini Principal Investigator Te P?naha Matatini Te P?naha Matatini PhD Candidate Centre for Science in Society s92gii From: Covid-19 System Assurance <Covid-19.systemassurancedpmc.govt.nz> Date: Monday, 28 February 2022 at 12:17 PM Subject: RFP Disinformation",,
Responses to Official Information Requests - May 2023,,2023-09-29,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/responses-official-information-requests-may-2023,https://www.dpmc.govt.nz/sites/default/files/2023-09/dpmc-roia-oia-2022-23-0804.pdf#page=6,dpmcnz-3ab6d1f7ea4adc7827848198080346b8,,dpmcnz-3ab6d1f7ea4adc7827848198080346b8-f1024eda6c035a1c297feb458ddea517,full text search,,,,,6,"As you can see below, sent at 2.45 this afternoon. Have a great weekend, Ng? mihi s92a Project Lead, The Disinformation Project Co-Lead, Equity and Diversity Community of Interest, Te P?naha Matatini Principal Investigator Te P?naha Matatini Te P?naha Matatini PhD Candidate Centre for Science in Society s92gii From: s92a Date: Friday, 25 March 2022 at 2:45 PM To: 19.systemassurancedpmc.govt <19.systemassurancedpmc.govt> Subject: Attached - RfP Online Harms",,
Responses to Official Information Requests - May 2023,,2023-09-29,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/responses-official-information-requests-may-2023,https://www.dpmc.govt.nz/sites/default/files/2023-09/dpmc-roia-oia-2022-23-0804.pdf#page=6,dpmcnz-3ab6d1f7ea4adc7827848198080346b8,,dpmcnz-3ab6d1f7ea4adc7827848198080346b8-f1024eda6c035a1c297feb458ddea517,full text search,,,,,6,"Noho ora mai, s92a Released under the Official Information Act 1982 Ng? mihi s92a Project Lead, The Disinformation Project Co-Lead, Equity and Diversity Community of Interest, Te P?naha Matatini Principal Investigator Te P?naha Matatini Te P?naha Matatini PhD Candidate Centre for Science in Society s92gii Instructions for Respondents 1. Check that you have all the relevant documents, including: The Request for Proposals",,
Responses to Official Information Requests - May 2023,,2023-09-29,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/responses-official-information-requests-may-2023,https://www.dpmc.govt.nz/sites/default/files/2023-09/dpmc-roia-oia-2022-23-0804.pdf#page=1,dpmcnz-3ab6d1f7ea4adc7827848198080346b8,,dpmcnz-3ab6d1f7ea4adc7827848198080346b8-f1024eda6c035a1c297feb458ddea517,full text search,,,,,1,Ref: OIA-2022/23-0804 Official Information Act request relating to Interactions and engagements with Te Punaha Matatini and The Disinformation Project Thank you for your Official Information Act 1982 the Act request received on 13 April 2023. You requested: I request the following information under the Official Information Act 1982 OIA regarding: Te Punaha Matatini TPM A Centre of Research Excellence hosted by the University of Auckland The Disinformation Project,,
Responses to Official Information Requests - May 2023,,2023-09-29,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/responses-official-information-requests-may-2023,https://www.dpmc.govt.nz/sites/default/files/2023-09/dpmc-roia-oia-2022-23-0804.pdf#page=1,dpmcnz-3ab6d1f7ea4adc7827848198080346b8,,dpmcnz-3ab6d1f7ea4adc7827848198080346b8-f1024eda6c035a1c297feb458ddea517,full text search,,,,,1,"then please advise who the other concerned departments are. I have interpreted your request for information relating to Te Punaha Matatini to be for information related to disinformation / misinformation. I have also interpreted your request to exclude the administrative processing information between the Department of the Prime Minister and Cabinet and Te Punaha Matatini / The Disinformation Project, relating to consultation on previously received Official Information Act responses. I can also",,
COVID-19: Weekly reports and situation updates,,2023-01-26,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/covid-19-weekly-reports-and-situation-updates,https://www.dpmc.govt.nz/sites/default/files/2023-01/COVID-19-Response-Weekly-Report-110221-11-February-2022.pdf#page=35,dpmcnz-7dd24a8b013384a55400d5dc2c63ea3f,,dpmcnz-7dd24a8b013384a55400d5dc2c63ea3f-42da6de91af28023f210f5ec65f27f53,full text search,,,,,35,com/doi/full/10.1080/03036758.2021.1900294 - Accessed 3 February 2022 21 Te P?naha Matatini. Exploring COVID-19 Transmission Risk and Vulnerability Through the Aotearoa Co-incidence Network ACN. Accessed 02 February 2022 22 Te P?naha Matatini. Exploring COVID-19 Transmission Risk and Vulnerability Through the Aotearoa Co-incidence Network ACN. Accessed 02 February 2022 23 Te P?naha Matatini. Exploring COVID-19 Transmission Risk and Vulnerability Through the Aotearoa Co-incidence,,
COVID-19: Weekly reports and situation updates,,2023-01-26,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/covid-19-weekly-reports-and-situation-updates,https://www.dpmc.govt.nz/sites/default/files/2023-01/COVID-19-Response-Weekly-Report-110221-11-February-2022.pdf#page=34,dpmcnz-7dd24a8b013384a55400d5dc2c63ea3f,,dpmcnz-7dd24a8b013384a55400d5dc2c63ea3f-42da6de91af28023f210f5ec65f27f53,full text search,,,,,34,Figure 9: Vaccination Levels Fully Vaccinated Proactively Released RESTRICTED 33 RESTRICTED 1 Te P?naha Matatini. Exploring COVID-19 Transmission Risk and Vulnerability Through the Aotearoa Co-incidence Network ACN. Accessed 02 February 2022 2 Te P?naha Matatini. Exploring COVID-19 Transmission Risk and Vulnerability Through the Aotearoa Co-incidence Network ACN. Accessed 02 February 2022 3 Taylor and Francis,,
COVID-19: Weekly reports and situation updates,,2023-01-26,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/covid-19-weekly-reports-and-situation-updates,https://www.dpmc.govt.nz/sites/default/files/2023-01/COVID-19-Response-Weekly-Report-110221-11-February-2022.pdf#page=35,dpmcnz-7dd24a8b013384a55400d5dc2c63ea3f,,dpmcnz-7dd24a8b013384a55400d5dc2c63ea3f-42da6de91af28023f210f5ec65f27f53,full text search,,,,,35,1900294 - Accessed 3 February 2022 5 Te P?naha Matatini. Exploring COVID-19 Transmission Risk and Vulnerability Through the Aotearoa Co-incidence Network ACN. Accessed 02 February 2022 6 Taylor and Francis Online. Understanding vulnerability to COVID-19 in New Zealand: a nationwide cross-sectional study. https://www.tandfonline.com/doi/full/10.1080/03036758.2021.1900294 - Accessed 3 February 2022 7 Te P?naha Matatini. Exploring COVID-19 Transmission Risk and Vulnerability,,
COVID-19: Weekly reports and situation updates,,2023-01-26,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/covid-19-weekly-reports-and-situation-updates,https://www.dpmc.govt.nz/sites/default/files/2023-01/COVID-19-Response-Weekly-Report-110221-11-February-2022.pdf#page=7,dpmcnz-7dd24a8b013384a55400d5dc2c63ea3f,,dpmcnz-7dd24a8b013384a55400d5dc2c63ea3f-42da6de91af28023f210f5ec65f27f53,full text search,,,,,7,"insights report is to highlight and expand on previous analysis showing the areas with the highest COVID-19 vulnerability factors, considering socioeconomic, health, and cultural related factors. This insight will focus heavily on work carried out by Te Punaha Matatini TPM, published as Delta was the dominant variant globally, as a basis for showing where these atrisk communities exist and will expand on some of the considerations that formed the basis of that work. 1 The TPM research aimed to identify",,
"Dates, number and values of contracts awarded to Te Punaha Matatini (OIA-20210123)",,2021-08-31,New Zealand Treasury,government,https://treasury.govt.nz/publications/oia-response/dates-number-and-values-contracts-awarded-te-punaha-matatini-oia-20210123,https://www.treasury.govt.nz/sites/default/files/2022-02/oia-20210123.pdf#page=,treasurynz-f6686492d28494cdb79b3cf2a9518b9e,,treasurynz-f6686492d28494cdb79b3cf2a9518b9e-626ff73b5a5fe5145e0d83da4c8d285d,full text search,,,,,,"Dates, number and values of contracts awarded to Te Punaha Matatini OIA-20210123",,
