first_name,last_name,stand_name,organization,department,TPM_role,TPM_category,TPM_inq_com,TPM_project,year_joined,TPM_bio,ORCID_ID,Scopus_ID
David,Aguirre,"Aguirre, D",University of Auckland,School of Biological Sciences,Principal Investigator,Principal Investigator,NA,,2023,"Dave (Ngati Kahungunu, Te Whanau-a-Apanui, Ngati Tuwharetoa) is an Associate Professor in the School of Biological Sciences at the University of Auckland. He is currently a Rutherford Discovery Fellow. Dave’s research aims to better understand the trajectories of two of the world’s most productive and iconic marine ecosystems – kelp forests and coral reefs – in response to global changes. In particular, he hopes to quantify the potential for adaption to climate change in these ecosystem engineering species, including developing culturing methods and championing active ecosystem restoration approaches.",0000-0001-7520-441X,36668233300
Richard,Aitken,"Aitken, R",Beca,Chairman,Chair,Advisory Board,NA,,2015,"Richard graduated from the University of Auckland in civil/structural engineering. After the ‘obligatory overseas experience’ he embarked on a 50-year career journey with Beca, which included being Chief Executive 2000-2009 and Executive Chairman 2009-2017. Richard is now a consultant to Beca and no longer involved in its operational activities. Richard has held a number of external directorships: Trustpower Limited 2010-2019, Transpower Limited 2019-2022, Panuku Development Auckland Limited, director from 2015 and chair 2016-2018, Director of the Waterview Project Alliance board from 2011 and Chair from 2015 to completion, member of the Trust Board of the Power Engineering Excellence Trust, University of Canterbury 2002-2014 and Chair of the Construction Strategy Group from 2010 to 2015.",NA,NA
Hamza,Ajmal,"Ajmal, H",Livestock Improvement Corporation,Market Analyst,Principal Investigator,Principal Investigator,NA,,2016,"Hamza Ajmal is a Market Analyst at Livestock Improvement Corporation based in Hamilton. He has a PhD in finance from the University of Waikato and his research interests include initial public offerings, economic macro-structure, institutional environment, impact of regulations on capital markets, economic and financial sustainability, and sustainable development. Hamza has a diverse background in finance, business studies, statistics, econometrics, data science, sustainable development and education for sustainable development.",0000-0002-8527-5884,58313215900
Melinda,Allen,"Allen, M",University of Auckland,Faculty of Arts,Principal Investigator,Principal Investigator,NA,Maori Horticulture,2015,"Melinda Allen is a Professor of Archaeology at the University of Auckland. Prior to joining the University in 1996, she was a Research Anthropologist at Bernice Pauahi Bishop Museum, the Hawai’i State Museum of Cultural and Natural History. Melinda’s research focuses on indigenous marine fisheries, human colonisation processes, traditional agroeconomies, landscape change and other aspects of human palaeoecology. She is particularly interested in the dynamics of socio-natural systems, including human impacts, feedback relations, and emergent resilient (vulnerable) outcomes. She specialises in Polynesian archaeology with current study sites in the Cook Islands, Marquesas Islands, and Aotearoa New Zealand.",0000-0001-5041-5106,7404105542
Hitaua,Arahanga-Doyle,"Arahanga-Doyle, H",University of Otago,Department of Psychology,Principal Investigator,Principal Investigator,NA,,2023,"Hitaua Arahanga-Doyle (Ngai Tahu, Te ati Haunui a Paparangi) is a Lecturer in the Department of Psychology at the University of Otago. Hitaua’s doctoral research aimed to connect whanaungatanga with contemporary social psychological notions of belonging to create a novel intervention that helped first year Maori students succeed at university. After completing his PhD in 2021 Hitaua joined the department as a Lecturer. His other research explores adolescent resilience, cultural understanding of identity, and social ostracism. In 2019, Hitaua was a recipient of a Fulbright Scholarship where he attended Stanford University and Northwestern University as a Visiting Research Scholar.",0000-0002-5416-1008,57203528456
Richard,Arnold,"Arnold, R",Victoria University of Wellington,School of Mathematics and Statistics,Principal Investigator,Principal Investigator,NA,The Media,2019,"Richard is a Professor of Statistics and Data Science at Victoria University of Wellington. He started his research career in astronomy, and has transited into work in a variety of problems in Applied Statistics, often approaching analysis from a Bayesian Statistical viewpoint. Richard’s research interests are in directional statistics, reliability theory and clustering, and a variety of applications of these techniques in areas such as geophysics, linguistics and fisheries. He has been the election night forecaster for Television New Zealand, and has in interest in improving the public understanding of statistics.",0000-0002-1238-1993,15070007200
Quentin,Atkinson,"Atkinson, Q",University of Auckland,School of Psychology,Principal Investigator,Principal Investigator,NA,,2021,"Quentin Atkinson is a Professor of Psychology at the University of Auckland. Quentin’s research uses lab and field experiments, computer modelling and evolutionary theory to investigate the evolution of human culture and cognition, including the origins of linguistic diversity, the function of religion, the psychology of climate change and why political systems vary the way they do around the globe. He won the University of Auckland’s Vice-Chancellor’s Research Excellence Medal in 2016, is a former Fellow of Wolfson College, Oxford, and Associate Editor of the journal Evolution and Human Behavior",0000-0002-8499-7535,22633898400
Jo,Bailey,"Bailey, J",Massey University,College of Creative Arts,Principal Investigator,Principal Investigator,NA,Co-production; Maths Craft,2019,"Jo is a designer and senior lecturer in visual communication at the School of Design, College of Creative Arts, Massey University. Her design practice focuses on facilitating access to information, communicating science environmental and social issues, and book design systems. Jo is also a Te P?naha Matatini-funded PhD candidate in the Centre for Science and Society Group at Victoria University Wellington. Her research investigates the divide between science communication theory and practice, and the potential for design (in various guises) to inform the development of both public engagement strategy and delivery",0000-0002-9954-3042,57270034900
Troy ,Baisden,"Baisden, T",University of Auckland,School of Environment,Principal Investigator,Principal Investigator,NA,Science-policy Interface; System Change,2015,"Troy Baisden specialises in understanding the flow of nutrients, water and carbon through terrestrial ecosystems and resulting impacts in freshwater. Much of his work has focused on isotope systems, ensuring New Zealand has access to challenging isotope techniques combined with the ‘big-picture’ understanding required to apply them to the nation’s most important environmental issues. This has involved sophisticated instrumental techniques, yet the most crucial understanding often evolves from large scale environmental and economic data, viewed in a policy, social and cultural context.",0000-0003-1814-1306,56730622300
Ngaio,Balfour,"Balfour, N",University of Auckland,Faculty of Science,Committee Member,Te Tira Maurikura,NA,,2022,"Ngaio is a Master of Science student at the University of Auckland and Scion. Ngaio’s broad research interests include ecology, evolution, invasion biology, landscape genetics, restoration ecology, environmental science and interdisciplinary research which intersects these fields. Through her masters, Ngaio is investigating the ecology of the fungal pathogen Austropuccinia psidii in Aotearoa’s native ngahere. Ngaio is also passionate about equity, well-being and diversity in education and research.",0009-0007-5172-3013,NA
