Key,Item Type,Publication Year,authors,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,keywords,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
RN2C5792,presentation,2023,"Liggins, Libby",Maintaining the Indigenous provenance of Digital Sequence Information in support of Indigenous Data Sovereignty and benefit-sharing,,,,,,,1/03/2023,17/04/2024 4:12,30/05/2024 1:09,,,,,,,,,,,,,,"New York University, New York, USA",en,,Conference Paper,,,,,Presenters: _:n361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York University JIPEL Annual Symposium 2023 - Indigenous Data Sovereignty,,,,,,,,,,,,,,,,
52WZ42HY,journalArticle,2023,"Duley, Chanelle; Gai, Prasanna","Macroeconomic tail risk, currency crises and the inter‐war gold standard",Canadian Journal of Economics/Revue canadienne d'économique,,"0008-4085, 1540-5982",10.1111/caje.12680,https://onlinelibrary.wiley.com/doi/10.1111/caje.12680,"Abstract             We introduce macroeconomic tail risk into the canonical global game model of currency crises. The exchange rate peg is attacked if fundamentals reach a critical threshold, or if there is a sufficiently large public shock. Large shocks generate doubt amongst investors about both the state of the world and about what others know, giving rise to multiple equilibria. We find a non‐monotonic relationship between tail risk and the probability of (a fundamentals‐based) crisis and show how this effect depends on the magnitude and direction of public shocks. We consider the implications of policy intervention and identify conditions under which active intervention produces doubt about the level of fundamentals and, hence, how others will respond. Our analysis clarifies how financial contagion in Europe precipitated the sterling crisis of 1931.           ,              Résumé                            Le risque macroéconomique d'une variation de cours se situant dans la queue de la distribution, les crises cambiaires et l'étalon‐or de l'entre‐deux‐guerres               . Nous introduisons le risque macroéconomique d'une variation de cours se situant dans la queue de la distribution dans la théorie des jeux globaux classique des crises cambiaires. La parité est attaquée si les éléments fondamentaux atteignent un seuil critique ou s'il y a un choc public suffisamment grand. Les grands chocs génèrent des doutes chez les investisseurs quant à l'état du monde et aux connaissances des autres, donnant lieu à des équilibres multiples. Nous constatons une relation non monotone entre le risque d'une variation de cours se situant dans la queue de la distribution et la probabilité d'une crise (liée aux facteurs fondamentaux) et démontrons comment cet effet dépend de la magnitude et de la direction des chocs publics. Nous tenons compte des répercussions de l'intervention politique et déterminons les conditions selon lesquelles une intervention active produit des doutes quant au niveau des facteurs fondamentaux et donc, quant à la façon dont les autres vont répondre. Notre analyse clarifie comment la contagion financière en Europe a précipité la crise de la livre sterling de 1931.",2023-11,14/04/2024 23:07,30/05/2024 1:09,15/04/2024 5:29,1551-1582,,4,56,,Canadian J of Economics,,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8GI6FDSJ,journalArticle,2023,"Pauling, Andrew G.; Bitz, Cecilia M.; Steig, Eric J.",Linearity of the Climate System Response to Raising and Lowering West Antarctic and Coastal Antarctic Topography,Journal of Climate,,"0894-8755, 1520-0442",10.1175/JCLI-D-22-0416.1,https://journals.ametsoc.org/view/journals/clim/36/18/JCLI-D-22-0416.1.xml,"Abstract             A hierarchy of general circulation models (GCMs) is used to investigate the linearity of the response of the climate system to changes in Antarctic topography. Experiments were conducted with a GCM with either a slab ocean or fixed SSTs and sea ice, in which the West Antarctic ice sheet (WAIS) and coastal Antarctic topography were either lowered or raised in an idealized way. Additional experiments were conducted with a fully coupled GCM with topographic perturbations based on an ice-sheet model in which the WAIS collapses. The response over the continent is the same in all model configurations and is mostly linear. In contrast, the response has substantial nonlinear elements over the Southern Ocean that depend on the model configuration and are due to feedbacks with sea ice, ocean, and clouds. The atmosphere warms near the surface over much of the Southern Ocean and cools in the stratosphere over Antarctica, whether topography is raised or lowered. When topography is lowered, the Southern Ocean surface warming is due to strengthened southward atmospheric heat transport and associated enhanced storminess over the WAIS and the high latitudes of the Southern Ocean. When topography is raised, Southern Ocean warming is more limited and is associated with circulation anomalies. The response in the fully coupled experiments is generally consistent with the more idealized experiments, but the full-depth ocean warms throughout the water column whether topography is raised or lowered. These results indicate that ice sheet–climate system feedbacks differ depending on whether the Antarctic ice sheet is gaining or losing mass.                            Significance Statement               Throughout Earth’s history, the Antarctic ice sheet was at times taller or shorter than it is today. The purpose of this study is to investigate how the atmosphere, sea ice, and ocean around Antarctica respond to changes in ice sheet height. We find that the response to lowering the ice sheet is not the opposite of the response to raising it, and that in either case the ocean surface near the continent warms. When the ice sheet is raised, the ocean warming is related to circulation changes; when the ice sheet is lowered, the ocean warming is from an increase in southward atmospheric heat transport. These results are important for understanding how the ice sheet height and local climate evolve together through time.",15/09/2023,14/04/2024 23:07,30/05/2024 1:09,15/04/2024 5:39,6195-6212,,18,36,,,,,,,,,,,http://www.ametsoc.org/PUBSReuseLicenses,,,,DOI.org (Crossref),,,,C:\Users\User\Zotero\storage\JQI5N6UX\Pauling et al. - 2023 - Linearity of the Climate System Response to Raisin.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3TUZLNMJ,journalArticle,2023,"Hess, Melanie K; Hodgkinson, Hannah E; Hess, Andrew S; Zetouni, Larissa; Budel, Juliana C C; Henry, Hannah; Donaldson, Alistair; Bilton, Timothy P; van Stijn, Tracey C; Kirk, Michelle R; Dodds, Ken G; Brauning, Rudiger; McCulloch, Alan F; Hickey, Sharon M; Johnson, Patricia L; Jonker, Arjan; Morton, Nickolas; Hendy, Shaun; Oddy, V Hutton; Janssen, Peter H; McEwan, John C; Rowe, Suzanne J",Large-scale analysis of sheep rumen metagenome profiles captured by reduced representation sequencing reveals individual profiles are influenced by the environment and genetics of the host,BMC genomics,,1471-2164,10.1186/s12864-023-09660-3,https://pubmed.ncbi.nlm.nih.gov/37723422,"BACKGROUND: Producing animal protein while reducing the animal's impact on the environment, e.g., through improved feed efficiency and lowered methane emissions, has gained interest in recent years. Genetic selection is one possible path to reduce the environmental impact of livestock production, but these traits are difficult and expensive to measure on many animals. The rumen microbiome may serve as a proxy for these traits due to its role in feed digestion. Restriction enzyme-reduced representation sequencing (RE-RRS) is a high-throughput and cost-effective approach to rumen metagenome profiling, but the systematic (e.g., sequencing) and biological factors influencing the resulting reference based (RB) and reference free (RF) profiles need to be explored before widespread industry adoption is possible. RESULTS: Metagenome profiles were generated by RE-RRS of 4,479 rumen samples collected from 1,708 sheep, and assigned to eight groups based on diet, age, time off feed, and country (New Zealand or Australia) at the time of sample collection. Systematic effects were found to have minimal influence on metagenome profiles. Diet was a major driver of differences between samples, followed by time off feed, then age of the sheep. The RF approach resulted in more reads being assigned per sample and afforded greater resolution when distinguishing between groups than the RB approach. Normalizing relative abundances within the sampling Cohort abolished structures related to age, diet, and time off feed, allowing a clear signal based on methane emissions to be elucidated. Genus-level abundances of rumen microbes showed low-to-moderate heritability and repeatability and were consistent between diets. CONCLUSIONS: Variation in rumen metagenomic profiles was influenced by diet, age, time off feed and genetics. Not accounting for environmental factors may limit the ability to associate the profile with traits of interest. However, these differences can be accounted for by adjusting for Cohort effects, revealing robust biological signals. The abundances of some genera were consistently heritable and repeatable across different environments, suggesting that metagenomic profiles could be used to predict an individual's future performance, or performance of its offspring, in a range of environments. These results highlight the potential of using rumen metagenomic profiles for selection purposes in a practical, agricultural setting.",18/09/2023,14/04/2024 23:07,30/05/2024 1:09,,551-551,,1,24,,BMC Genomics,,,,,,,,eng,,,PubMed,37723422,,,Number: 1 Place: England,,C:\Users\User\Zotero\storage\638L8SKK\Hess et al. - 2023 - Large-scale analysis of sheep rumen metagenome pro.pdf; ; ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10506323/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10506323/,Animals; Genetics; Genotyping-by-sequencing; *Metagenome; *Microbiota; Livestock; Metagenome; Methane; Reference based; Reference free; Restriction enzyme reduced representation sequencing; Rumen; Rumen microbiome; Sheep/genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284VTSPH,journalArticle,2023,"Castro, Isabel; Alley, Maurice Rewi; Hunter, Stuart; Marsland, Stephen; Alexander, Sarah",Kiwi Misadventure and its Association with Climate Change,Kokako,,1173-5465,,https://www.sciquest.org.nz/browse/publications/article/173197,"Kiwi are reliant on well-developed non-visual senses to forage and breed successfully in dense New Zealand forests at night. Analysis of post-mortem records at Massey University over the last two decades has shown increasing numbers of cases of mortality due to misadventure in kiwi of all ages. Drowning was found to be a common cause of death, and this occurred during both wetter and drier than usual months and was often associated with flooding. We also report mortalities associated with extreme rainfall. This suggests that kiwi senses may be inadequate for their survival during the extreme weather events now taking place with climate change. It is recognised that most deaths from misadventure in the wild will go undetected.",2023-12,14/04/2024 23:07,30/05/2024 1:08,,19-23,,2,30,,,,,,,,,,,,,,,,,Number: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZVH5MZK7,journalArticle,2023,"Whitehead, Jesse; Gan, Han; Heerikhuisen, Jacob; Gray, George; Richardson, Trevor; Brown, Paul; Lawrenson, Ross","Inequities in COVID-19 Omicron infections and hospitalisations for Māori and Pacific people in Te Manawa Taki Midland region, New Zealand",Epidemiology and infection,,1469-4409,10.1017/S0950268823000572,https://pubmed.ncbi.nlm.nih.gov/37092681,"COVID-19 impacts population health equity. While mRNA vaccines protect against serious illness and death, little New Zealand (NZ) data exist about the impact of Omicron - and the effectiveness of vaccination - on different population groups. We aim to examine the impact of Omicron on Māori, Pacific, and Other ethnicities and how this interacts with age and vaccination status in the Te Manawa Taki Midland region of NZ. Daily COVID-19 infection and hospitalisation rates (1 February 2022 to 29 June 2022) were calculated for Māori, Pacific, and Other ethnicities for six age bands. A multivariate logistic regression model quantified the effects of ethnicity, age, and vaccination on hospitalisation rates. Per-capita Omicron cases were highest and occurred earliest among Pacific (9 per 1,000) and Māori (5 per 1,000) people and were highest among 12-24-year-olds (7 per 1,000). Hospitalisation was significantly more likely for Māori people (odds ratio (OR) = 2.03), Pacific people (OR = 1.75), over 75-year-olds (OR = 39.22), and unvaccinated people (OR = 4.64). Length of hospitalisation is strongly related to age. COVID-19 vaccination reduces hospitalisations for older individuals and Māori and Pacific populations. Omicron inequitably impacted Māori and Pacific people through higher per-capita infection and hospitalisation rates. Older people are more likely to be hospitalised and for longer.",24/04/2023,14/04/2024 23:07,30/05/2024 1:08,,e74-e74,,,151,,Epidemiol Infect,,,,,,,,eng,,,PubMed,37092681,,,Place: England,,C:\Users\User\Zotero\storage\R87DG4TT\Whitehead et al. - 2023 - Inequities in COVID-19 Omicron infections and hosp.pdf; ; ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10203532/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10203532/,Humans; *COVID-19/epidemiology/prevention & control; *Health Status Disparities; *Maori People; Aged; COVID-19; COVID-19 Vaccines; health inequalities; hospitalisations; Hospitalization; Māori; New Zealand/epidemiology; Pacific; vaccination; White People,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258VHDL8,journalArticle,2023,"Veronesi, Emiliano R.; Cairns, Sarah M.; Alizadeh, Hossein; Hampton, John; Maris, Robbie; Godsoe, William; Goldson, Stephen L.; Clavijo McCormick, Andrea",Individual and Combined Effects of Predatory Bug Engytatus nicotianae and Trichoderma atroviride in Suppressing the Tomato Potato Psyllid Bactericera cockerelli in Greenhouse Grown Tomatoes,Agronomy,,2073-4395,10.3390/agronomy13123019,https://www.mdpi.com/2073-4395/13/12/3019,"The tomato potato psyllid (TPP) Bactericera cockerelli is a serious pest of the Solanaceae family. The management of this pest using synthetic pesticides is problematic because of the development of pesticide resistance and environmental concerns including impacts on non-target organisms. The predatory bug Engytatus nicotianae has recently been identified as a useful biocontrol agent for TPP in greenhouses. The soil fungus Trichoderma Pers. is commonly used as a plant growth enhancer and biocontrol agent against phytopathogenic fungi. Therefore, there could be advantages associated with the combined use of these biocontrol agents. Some reports in other systems suggest that Trichoderma inoculation may alter the behaviour of pests and their natural enemies by modifying plant defence metabolites such as volatile organic compounds (VOCs). For this reason, this study aimed to investigate the individual and combined efficacy of these biocontrol agents (i.e., Trichoderma atroviride and E. nicotianae) against TPP in greenhouse grown tomatoes (Solanum lycopersicum cv. Merlice). To this end, we compared the effect of each biocontrol agent and their combination on TPP abundance across different developmental stages (egg, nymphs, adults) and the number of infested leaves. We also investigated plant VOC emissions under the different treatments. Across all measured TPP stages, the treatments tested (E. nicotianae alone, T. atrovirdae alone, and T. atrovirdae + E. nicotianae) significantly reduced mean TPP counts relative to the control, and no significant differences were observed in VOC emissions among treatments. Overall, T. atrovirdae alone was less effective than E. nicotianae alone and its combination with T. atrovirdae in suppressing TPP populations. However, the combined use of Trichoderma + E. nicotianae did not show significant advantages over the use of E. nicotianae alone in controlling TPP. Therefore, their combined use needs to be further assessed in light of other advantages of Trichoderma to the crop (e.g., growth promotion or pathogen defence).",8/12/2023,14/04/2024 23:07,30/05/2024 1:08,15/04/2024 5:44,3019,,12,13,,Agronomy,,,,,,,,en,https://creativecommons.org/licenses/by/4.0/,,,,DOI.org (Crossref),,,,C:\Users\User\Zotero\storage\7J6649YW\Veronesi et al. - 2023 - Individual and Combined Effects of Predatory Bug E.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANBIPKBA,journalArticle,2023,"Fukofuka, Peni; Scobie, Matthew; Finau, Glenn",Indigenous practices of accounting on the ground: a Bourdieusian perspective,"Accounting, Auditing & Accountability Journal",,0951-3574,10.1108/AAAJ-11-2021-5529,https://www.emerald.com/insight/content/doi/10.1108/AAAJ-11-2021-5529/full/html,"Purpose               This study explores accounting practice in an Indigenous organization. This organization is embedded within a rural Aboriginal community in the country currently known as Australia. In doing so, this study illustrates the intertwining of accounting practice, practitioners, organizations and social/cultural context, while recognizing that the cultural embeddedness of accounting is not uniform.                                         Design/methodology/approach               Empirical materials were collected as part of a qualitative field study with an Indigenous organization. Specific methods include interviews, informal conversations, documentary reviews and participant observations. These materials were analysed through a Bourdieusian perspective.                                         Findings               By working with Indigenous Peoples on the ground, rather than relying on secondary materials, this study highlights how the values of a community challenge and reorient accounting practice towards community aspirations. This study illustrates how fields beyond the organization influence accounting practice, including in budgeting and assurance.                                         Originality/value               Exploring Indigenous practices of accounting maintains Indigenous agency and opens up space for alternative understandings and practices of accounting. By illustrating how a community can influence the accounting practice of an organization, this study has implications for wider understandings of the cultural embeddedness of mainstream accounting and possible alternatives.",10/01/2023,14/04/2024 23:07,30/05/2024 1:08,15/04/2024 5:31,96-119,,1,36,,AAAJ,Indigenous practices of accounting on the ground,,,,,,,en,https://www.emerald.com/insight/site-policies,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5G4WKR2E,journalArticle,2023,"Van Hamelsveld, Sophie; Kurenbach, Brigitta; Paull, Deborah J.; Godsoe, William A.; Ferguson, Gayle C.; Heinemann, Jack A.",Indigenous food sources as vectors of Escherichia coli and antibiotic resistance,Environmental Pollution,,2697491,10.1016/j.envpol.2023.122155,https://linkinghub.elsevier.com/retrieve/pii/S0269749123011570,,2023-10,14/04/2024 23:07,30/05/2024 1:07,15/04/2024 5:44,122155,,,334,,Environmental Pollution,,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDJDWWDB,presentation,2023,"Salmon, Rhian A.; Bailey, J.; Horst, M",Incubating Engagement - approaches for stimulating reflexivity and connecting science communication theory and practice,,,,,,,2023,14/04/2024 23:07,30/05/2024 1:07,,,,,,,,,,,,,,,en,,Visual Paper,,,,,Presenters: _:n268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Communication of Science and Technology,,,,,,,,,,,,,,,,
